id,value
provider,
provider.Chiropractic
provider.Chiropractic.ALL WAYS CHIROPRACTIC,6
provider.Chiropractic.AXIS CHIROPRACTIC ,2
provider.Chiropractic.BAZE CHIROPRACTIC PLLC,3
provider.Chiropractic.BEL RED CHIROPRACTIC WELLNESS,3
provider.Chiropractic.BURIEN CHIROPRACTIC,3
provider.Chiropractic.BURIEN CHIROPRACTIC,3
provider.Chiropractic.CHIROPRACTIC WELLNESS ,1
provider.Chiropractic.CHIROPRACTIC PREMIER ,3
provider.Chiropractic.CLARK CHIROPRACTIC,4
provider.Chiropractic.CORBIN CHIROPRACTIC,2
provider.Chiropractic.CROSSROADS CHIROPRACTIC CENTER,10
provider.Chiropractic.DESAUTEL CHIROPRACTIC,27
provider.Chiropractic.DISCOVER CHIROPRACTIC,3
provider.Chiropractic.DOWNEY CHIROPRACTIC ,1
provider.Chiropractic.DYNAMIC CHIROS,35
provider.Chiropractic.HANSON CHIROPRACTIC,4
provider.Chiropractic.HEALTHQUEST CHIROPRACTIC,5
provider.Chiropractic.HEHN DC DR MARTIN ,1
provider.Chiropractic.HERRERA CHIROPRACTIC,71
provider.Chiropractic.JEX CHIROPRACTIC,4
provider.Chiropractic.KENMORE CHIROPRACTIC ,2
provider.Chiropractic.KENT CHIROPRACTIC PLLC,45
provider.Chiropractic.MARC-ANTHONY CHIROPRACTIC,20
provider.Chiropractic.MARC-ANTHONY CHIROPRACTIC ,33
provider.Chiropractic.MIDWAY CHIROPRACTIC,11
provider.Chiropractic.MILLER DC DR JOHN ,3
provider.Chiropractic.MYOMEDI CHIROPRACTIC,141
provider.Chiropractic.NYREN CHIROPRACTIC CENTER,2
provider.Chiropractic.OTHELLO CHIROPRACTIC,2
provider.Chiropractic.PACIFIC HWY CHIROPRACTIC ,43
provider.Chiropractic.PALMER CHIROPRACTIC,21
provider.Chiropractic.PREMIER CHIROPRACTIC ,94
provider.Chiropractic.PREMIER CHIROPRACTIC  PLLC  # 3,28
provider.Chiropractic.PUGET PARK CHIROPRACTIC,3
provider.Chiropractic.PURE CHIROPRACTIC CENTER,6
provider.Chiropractic.QUAM CHIRO CENTER,43
provider.Chiropractic.RENAISSANCE CHIROPRACRIC ,14
provider.Chiropractic.ROMERO DC DR LEO ,4
provider.Chiropractic.SEA-TAC CHIROPRACTIC,1
provider.Chiropractic.TACOMA MALL CHIROPRACTIC,24
provider.Chiropractic.TORRES DC DR GABRIEL ,71
provider.Chiropractic.TORRES DC DR GABRIEL ,292
provider.Chiropractic.TORRES DC GABRIEL ,111
provider.Chiropractic.WATSON CHIROPRACTIC,3
provider.Chiropractic.WHEELER DC DR STEVEN ,3
provider.Chiropractic.WRIGHT LIFE CHIROPRACTIC LLC,70
provider.Chiropractic.ZOHRABIAN DC ARA,12
provider.Chiropractic.ZOHRABIAN DC ARA,15
provider.Chiropractic.ZOHRABIAN DC DR ARA ,11
provider.DiagnosticImaging
provider.DiagnosticImaging.BELLEVUE MEDICAL IMAGING,6
provider.DiagnosticImaging.CDI,74
provider.DiagnosticImaging.CENTER FOR DIAGNOSTIC IMAGING,1
provider.DiagnosticImaging.CENTRAL PIERCE FIRE/RESCUE,3
provider.DiagnosticImaging.COLUMBIA IMAGING,4
provider.DiagnosticImaging.EDMONDS IMAGING,2
